,Name,Album,Artist,Year,Popularity,Duration
0,Champagne Supernova,(What's The Story) Morning Glory?,Oasis,1995,62,450.50600000000003
1,Wonderwall,(What's The Story) Morning Glory?,Oasis,1995,70,258.906
2,Don't Look Back In Anger,(What's The Story) Morning Glory?,Oasis,1995,66,287.826
3,ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,2020,88,181.733
4,All We Do,Oh Wonder,Oh Wonder,2015,64,214.174
5,Water,Ryland James,Ryland James,2020,45,185.755
6,Cryin',Get A Grip,Aerosmith,1993,72,308.333
7,Dude (Looks Like A Lady),Permanent Vacation,Aerosmith,1987,72,265.773
8,Changes - 2015 Remaster,Hunky Dory (2015 Remaster),David Bowie,1971,67,217.746
9,How Deep Is Your Love,How Deep Is Your Love,Calvin Harris,2015,79,212.64000000000001
10,"The Plan - From the Motion Picture ""TENET""","The Plan (From the Motion Picture ""TENET"")",Travis Scott,2020,69,185.85
11,Rager teenager!,In A Dream,Troye Sivan,2020,0,201.92600000000002
12,Easy,In A Dream,Troye Sivan,2020,0,226.781
13,IN A DREAM,In A Dream,Troye Sivan,2020,0,229.613
14,Midnight Sky,Midnight Sky,Miley Cyrus,2020,79,223.279
15,WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,2020,87,187.541
16,ICY GRL,High Maintenance,Saweetie,2018,71,109.302
17,Sunflower - Spider-Man: Into the Spider-Verse,Hollywood's Bleeding,Post Malone,2019,81,157.56
18,Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,2019,77,229.573
19,Wow.,Hollywood's Bleeding,Post Malone,2019,82,149.546
20,Circles,Hollywood's Bleeding,Post Malone,2019,88,215.28
21,Violet Hill,Viva La Vida or Death and All His Friends,Coldplay,2008,62,222.653
22,Charlie Brown,Mylo Xyloto,Coldplay,2011,67,285.159
23,Trouble,Parachutes,Coldplay,2000,72,273.426
24,Waves,A Place We Knew,Dean Lewis,2019,77,240.013
25,Stay Awake,A Place We Knew,Dean Lewis,2019,66,185.4
26,Be Alright,A Place We Knew,Dean Lewis,2019,75,196.493
27,ocean eyes,Ocean Eyes,Billie Eilish,2016,66,200.56
28,Burning,Heard It In A Past Life,Maggie Rogers,2019,62,213.173
29,Jerome,Cuz I Love You (Super Deluxe),Lizzo,2019,44,231.57
30,Juice,Cuz I Love You,Lizzo,2019,77,195.144
31,Good as Hell (feat. Ariana Grande),Cuz I Love You (Super Deluxe),Lizzo,2019,68,159.011
32,Truth Hurts,Cuz I Love You (Super Deluxe),Lizzo,2019,78,173.32500000000002
33,Don’t Matter To Me (with Michael Jackson),Scorpion,Drake,2018,71,245.786
34,Locked out of Heaven,Unorthodox Jukebox,Bruno Mars,2012,84,233.478
35,When I Was Your Man,Unorthodox Jukebox,Bruno Mars,2012,84,213.826
36,Freak,Freak,Doja Cat,2020,77,284.48
37,Same Space?,At Sixes And Sevens,Tiana Major9,2020,50,252.25300000000001
38,Johnny B. Goode,Berry Is On Top,Chuck Berry,1959,76,161.56
39,I Knew You Were Trouble,Red,Taylor Swift,2012,0,219.72
40,"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,2005,79,229.09300000000002
41,You Give Me Something,Undiscovered (International Version),James Morrison,2006,67,213.173
42,cardigan,folklore,Taylor Swift,2020,80,239.56
43,Nobody's Love,Nobody's Love,Maroon 5,2020,74,211.25300000000001
44,Hurts So Good,American Fool,John Mellencamp,1982,72,218.96
45,Love on the Weekend,The Search for Everything,John Mayer,2017,68,212.32
46,Lost Stars,Lost Stars,Adam Levine,2014,59,267.933
47,Eye of the Tiger,Eye Of The Tiger,Survivor,1982,74,243.773
48,If You Ever Wanna Be In Love - James Bay Spotify Session 2015,James Bay Spotify Session 2015,James Bay,2015,67,236.786
49,Let It Go,Chaos And The Calm,James Bay,2014,72,260.533
50,Let Her Go,All the Little Lights (Deluxe Version),Passenger,2013,76,252.733
51,Drops of Jupiter (Tell Me),Drops Of Jupiter,Train,2001,78,259.933
52,Jack & Diane,American Fool,John Mellencamp,1982,76,254.493
53,Angels,The Ego Has Landed,Robbie Williams,1999,50,265.733
54,Chasing Cars,Eyes Open,Snow Patrol,2006,78,267.933
55,Are You Bored Yet? (feat. Clairo),Nothing Happens,Wallows,2019,83,178.0
56,Walking On Sunshine,Katrina & The Waves,Katrina & The Waves,1985,78,238.733
57,Summer Of '69,Reckless (30th Anniversary / Deluxe Edition),Bryan Adams,1984,82,216.053
58,Jessie's Girl,Working Class Dog,Rick Springfield,1981,72,194.12
59,Hot N Cold,One Of The Boys,Katy Perry,2008,68,220.226
60,Miss You - Remastered,Some Girls (Deluxe Version),The Rolling Stones,1978,50,288.666
61,Hard Times,After Laughter,Paramore,2017,75,182.693
62,Still into You,Paramore,Paramore,2013,81,216.013
63,I Miss You,blink-182,blink-182,2003,71,227.24
64,What's My Age Again?,Enema Of The State,blink-182,1999,76,148.36
65,Mine,COSMIC,Bazzi,2018,77,131.064
66,I'm On Fire,Born In The U.S.A.,Bruce Springsteen,1984,75,155.88
67,MIDDLE CHILD,MIDDLE CHILD,J. Cole,2019,81,213.59300000000002
68,Without Me,The Eminem Show,Eminem,2002,84,290.32
69,Superman,The Eminem Show,Eminem,2002,73,350.32
70,BLACK PARADE,BLACK PARADE,Beyoncé,2020,64,281.272
71,Beat It,Thriller 25 Super Deluxe Edition,Michael Jackson,1982,79,258.04
72,Billie Jean,Thriller 25 Super Deluxe Edition,Michael Jackson,1982,84,293.826
73,Single Ladies (Put a Ring on It),I AM...SASHA FIERCE,Beyoncé,2008,66,193.213
74,Halo,I AM...SASHA FIERCE,Beyoncé,2008,65,261.64
75,Beast Of Burden - Remastered 1994,Some Girls,The Rolling Stones,1978,74,265.173
76,Dreamer,Down To Earth,Ozzy Osbourne,2001,65,284.906
77,No More Tears,No More Tears (Expanded Edition),Ozzy Osbourne,1991,67,443.24
78,"Mama, I'm Coming Home",No More Tears (Expanded Edition),Ozzy Osbourne,1991,69,251.866
79,You Get What You Give,Maybe You've Been Brainwashed Too,New Radicals,1998,74,300.773
80,Set Fire to the Rain,21,Adele,2011,15,241.693
81,We Can't Stop,Bangerz (Deluxe Version),Miley Cyrus,2013,78,231.24
82,Crazy Train,Blizzard of Ozz (Expanded Edition),Ozzy Osbourne,1980,34,296.2
83,Time After Time,She's So Unusual,Cyndi Lauper,1983,73,241.333
84,Don't Stop Believin',The Essential Journey,Journey,2001,74,248.906
85,Born This Way,Born This Way (International Special Edition Version),Lady Gaga,2011,76,260.253
86,We Found Love,Talk That Talk,Rihanna,2011,76,215.226
87,Better,Suncity,Khalid,2018,77,229.32
88,Saturday Nights,Suncity,Khalid,2018,73,210.666
89,I'm Still Standing,Too Low For Zero,Elton John,1983,82,183.44
90,Heartache Tonight - 2013 Remaster,The Long Run (2013 Remaster),Eagles,1979,61,265.678
91,Perfect,÷ (Deluxe),Ed Sheeran,2017,86,263.4
92,Desperado - 2013 Remaster,Desperado (2013 Remaster),Eagles,1973,69,213.71200000000002
93,Lyin' Eyes - 2013 Remaster,One of These Nights (2013 Remaster),Eagles,1975,66,381.998
94,Sweet Emotion,Toys In The Attic,Aerosmith,1975,76,274.133
95,Crazy,Get A Grip,Aerosmith,1993,74,316.693
96,Marvin Gaye (feat. Meghan Trainor),Nine Track Mind,Charlie Puth,2016,54,190.453
97,One Call Away,Nine Track Mind,Charlie Puth,2016,66,194.453
98,We Don't Talk Anymore (feat. Selena Gomez),Nine Track Mind,Charlie Puth,2016,70,217.70600000000002
99,I Think I'm OKAY (with YUNGBLUD & Travis Barker),Hotel Diablo,Machine Gun Kelly,2019,80,169.397
